,city,team1
0,Hyderabad,Sunrisers Hyderabad
1,Pune,Mumbai Indians
2,Rajkot,Gujarat Lions
3,Indore,Rising Pune Supergiant
4,Bangalore,Royal Challengers Bangalore
5,Hyderabad,Gujarat Lions
6,Mumbai,Kolkata Knight Riders
7,Indore,Royal Challengers Bangalore
8,Pune,Delhi Daredevils
9,Mumbai,Sunrisers Hyderabad
10,Kolkata,Kings XI Punjab
11,Bangalore,Royal Challengers Bangalore
12,Rajkot,Rising Pune Supergiant
13,Kolkata,Kolkata Knight Riders
14,Delhi,Delhi Daredevils
15,Mumbai,Gujarat Lions
16,Bangalore,Rising Pune Supergiant
17,Delhi,Delhi Daredevils
18,Hyderabad,Sunrisers Hyderabad
19,Rajkot,Royal Challengers Bangalore
20,Hyderabad,Sunrisers Hyderabad
21,Indore,Kings XI Punjab
22,Kolkata,Kolkata Knight Riders
23,Mumbai,Mumbai Indians
24,Pune,Sunrisers Hyderabad
25,Rajkot,Kings XI Punjab
26,Kolkata,Kolkata Knight Riders
27,Mumbai,Rising Pune Supergiant
28,Pune,Rising Pune Supergiant
29,Bangalore,Royal Challengers Bangalore
30,Kolkata,Delhi Daredevils
31,Chandigarh,Sunrisers Hyderabad
32,Pune,Rising Pune Supergiant
33,Rajkot,Gujarat Lions
34,Chandigarh,Delhi Daredevils
35,Hyderabad,Sunrisers Hyderabad
36,Mumbai,Royal Challengers Bangalore
37,Pune,Gujarat Lions
38,Delhi,Sunrisers Hyderabad
39,Kolkata,Kolkata Knight Riders
40,Delhi,Gujarat Lions
41,Bangalore,Kings XI Punjab
42,Hyderabad,Rising Pune Supergiant
43,Delhi,Mumbai Indians
44,Bangalore,Royal Challengers Bangalore
45,Chandigarh,Kings XI Punjab
46,Hyderabad,Mumbai Indians
47,Chandigarh,Kings XI Punjab
48,Kanpur,Gujarat Lions
49,Mumbai,Kings XI Punjab
50,Delhi,Delhi Daredevils
51,Kanpur,Gujarat Lions
52,Kolkata,Mumbai Indians
53,Pune,Kings XI Punjab
54,Delhi,Royal Challengers Bangalore
55,Mumbai,Rising Pune Supergiant
56,Bangalore,Sunrisers Hyderabad
57,Bangalore,Kolkata Knight Riders
58,Hyderabad,Mumbai Indians
59,Bangalore,Kolkata Knight Riders
60,Chandigarh,Chennai Super Kings
61,Delhi,Rajasthan Royals
62,Mumbai,Mumbai Indians
63,Kolkata,Deccan Chargers
64,Jaipur,Kings XI Punjab
65,Hyderabad,Deccan Chargers
66,Chennai,Chennai Super Kings
67,Hyderabad,Deccan Chargers
68,Chandigarh,Kings XI Punjab
69,Bangalore,Royal Challengers Bangalore
70,Chennai,Kolkata Knight Riders
71,Mumbai,Mumbai Indians
72,Chandigarh,Delhi Daredevils
73,Bangalore,Chennai Super Kings
74,Kolkata,Kolkata Knight Riders
75,Delhi,Delhi Daredevils
76,Hyderabad,Deccan Chargers
77,Jaipur,Rajasthan Royals
78,Chennai,Chennai Super Kings
79,Hyderabad,Deccan Chargers
80,Chandigarh,Kings XI Punjab
81,Mumbai,Mumbai Indians
82,Jaipur,Chennai Super Kings
83,Bangalore,Royal Challengers Bangalore
84,Chennai,Chennai Super Kings
85,Mumbai,Rajasthan Royals
86,Delhi,Delhi Daredevils
87,Kolkata,Kolkata Knight Riders
88,Jaipur,Deccan Chargers
89,Bangalore,Royal Challengers Bangalore
90,Chennai,Chennai Super Kings
91,Hyderabad,Kolkata Knight Riders
92,Jaipur,Delhi Daredevils
93,Chandigarh,Royal Challengers Bangalore
94,Kolkata,Kolkata Knight Riders
95,Mumbai,Chennai Super Kings
96,Chandigarh,Kings XI Punjab
97,Delhi,Delhi Daredevils
98,Mumbai,Kolkata Knight Riders
99,Delhi,Delhi Daredevils
100,Jaipur,Rajasthan Royals
101,Hyderabad,Mumbai Indians
102,Kolkata,Kolkata Knight Riders
103,Bangalore,Royal Challengers Bangalore
104,Kolkata,Kolkata Knight Riders
105,Mumbai,Kings XI Punjab
106,Chennai,Royal Challengers Bangalore
107,Chandigarh,Deccan Chargers
108,Delhi,Mumbai Indians
109,Chennai,Rajasthan Royals
110,Bangalore,Royal Challengers Bangalore
111,Kolkata,Kings XI Punjab
112,Jaipur,Mumbai Indians
113,Hyderabad,Deccan Chargers
114,Mumbai,Rajasthan Royals
115,Mumbai,Kings XI Punjab
116,Mumbai,Chennai Super Kings
117,Cape Town,Mumbai Indians
118,Cape Town,Royal Challengers Bangalore
119,Cape Town,Kings XI Punjab
120,Cape Town,Kolkata Knight Riders
121,Port Elizabeth,Chennai Super Kings
122,Durban,Kings XI Punjab
123,Cape Town,Deccan Chargers
124,Durban,Delhi Daredevils
125,Cape Town,Rajasthan Royals
126,Durban,Royal Challengers Bangalore
127,Durban,Deccan Chargers
128,Port Elizabeth,Royal Challengers Bangalore
129,Cape Town,Kings XI Punjab
130,Durban,Chennai Super Kings
131,Port Elizabeth,Mumbai Indians
132,Centurion,Delhi Daredevils
133,Durban,Kolkata Knight Riders
134,Durban,Kings XI Punjab
135,Centurion,Deccan Chargers
136,Centurion,Chennai Super Kings
137,East London,Mumbai Indians
138,Durban,Royal Challengers Bangalore
139,Port Elizabeth,Deccan Chargers
140,Johannesburg,Chennai Super Kings
141,Port Elizabeth,Kolkata Knight Riders
142,Johannesburg,Mumbai Indians
143,East London,Chennai Super Kings
144,Durban,Rajasthan Royals
145,Durban,Kolkata Knight Riders
146,Centurion,Deccan Chargers
147,Centurion,Royal Challengers Bangalore
148,Centurion,Chennai Super Kings
149,East London,Mumbai Indians
150,Kimberley,Deccan Chargers
151,Kimberley,Rajasthan Royals
152,Port Elizabeth,Mumbai Indians
153,Johannesburg,Kolkata Knight Riders
154,Kimberley,Deccan Chargers
155,Centurion,Kolkata Knight Riders
156,Centurion,Kings XI Punjab
157,Durban,Delhi Daredevils
158,Durban,Chennai Super Kings
159,Durban,Rajasthan Royals
160,Bloemfontein,Delhi Daredevils
161,Port Elizabeth,Mumbai Indians
162,Johannesburg,Kolkata Knight Riders
163,Johannesburg,Kings XI Punjab
164,Bloemfontein,Delhi Daredevils
165,Centurion,Chennai Super Kings
166,Johannesburg,Delhi Daredevils
167,Durban,Rajasthan Royals
168,Durban,Chennai Super Kings
169,Centurion,Mumbai Indians
170,Centurion,Royal Challengers Bangalore
171,Centurion,Delhi Daredevils
172,Johannesburg,Chennai Super Kings
173,Johannesburg,Deccan Chargers
174,Mumbai,Kolkata Knight Riders
175,Mumbai,Mumbai Indians
176,Chandigarh,Kings XI Punjab
177,Kolkata,Royal Challengers Bangalore
178,Chennai,Deccan Chargers
179,Ahmedabad,Rajasthan Royals
180,Bangalore,Kings XI Punjab
181,Kolkata,Chennai Super Kings
182,Delhi,Mumbai Indians
183,Bangalore,Rajasthan Royals
184,Delhi,Delhi Daredevils
185,Cuttack,Deccan Chargers
186,Ahmedabad,Rajasthan Royals
187,Mumbai,Mumbai Indians
188,Cuttack,Deccan Chargers
189,Chennai,Kings XI Punjab
190,Mumbai,Kolkata Knight Riders
191,Bangalore,Royal Challengers Bangalore
192,Chandigarh,Rajasthan Royals
193,Mumbai,Chennai Super Kings
194,Ahmedabad,Deccan Chargers
195,Chandigarh,Kolkata Knight Riders
196,Bangalore,Delhi Daredevils
197,Ahmedabad,Rajasthan Royals
198,Mumbai,Mumbai Indians
199,Delhi,Delhi Daredevils
200,Mumbai,Kings XI Punjab
201,Chennai,Royal Challengers Bangalore
202,Delhi,Delhi Daredevils
203,Kolkata,Kolkata Knight Riders
204,Chandigarh,Kings XI Punjab
205,Chennai,Chennai Super Kings
206,Mumbai,Mumbai Indians
207,Kolkata,Kolkata Knight Riders
208,Delhi,Delhi Daredevils
209,Nagpur,Rajasthan Royals
210,Chennai,Chennai Super Kings
211,Jaipur,Kings XI Punjab
212,Kolkata,Kolkata Knight Riders
213,Bangalore,Royal Challengers Bangalore
214,Chandigarh,Mumbai Indians
215,Nagpur,Chennai Super Kings
216,Bangalore,Kolkata Knight Riders
217,Delhi,Delhi Daredevils
218,Jaipur,Mumbai Indians
219,Nagpur,Deccan Chargers
220,Mumbai,Mumbai Indians
221,Chennai,Kolkata Knight Riders
222,Jaipur,Rajasthan Royals
223,Chennai,Chennai Super Kings
224,Dharamsala,Kings XI Punjab
225,Bangalore,Mumbai Indians
226,Kolkata,Rajasthan Royals
227,Dharamsala,Kings XI Punjab
228,Delhi,Deccan Chargers
229,Kolkata,Mumbai Indians
230,Mumbai,Mumbai Indians
231,Mumbai,Chennai Super Kings
232,Mumbai,Deccan Chargers
233,Mumbai,Chennai Super Kings
234,Chennai,Chennai Super Kings
235,Hyderabad,Deccan Chargers
236,Kochi,Kochi Tuskers Kerala
237,Delhi,Delhi Daredevils
238,Mumbai,Kings XI Punjab
239,Kolkata,Kolkata Knight Riders
240,Jaipur,Delhi Daredevils
241,Bangalore,Royal Challengers Bangalore
242,Chandigarh,Chennai Super Kings
243,Mumbai,Kochi Tuskers Kerala
244,Hyderabad,Deccan Chargers
245,Jaipur,Rajasthan Royals
246,Mumbai,Mumbai Indians
247,Chennai,Chennai Super Kings
248,Hyderabad,Deccan Chargers
249,Mumbai,Pune Warriors
250,Kolkata,Rajasthan Royals
251,Kochi,Chennai Super Kings
252,Delhi,Deccan Chargers
253,Mumbai,Pune Warriors
254,Kolkata,Kochi Tuskers Kerala
255,Chandigarh,Kings XI Punjab
256,Mumbai,Mumbai Indians
257,Kolkata,Kolkata Knight Riders
258,Delhi,Delhi Daredevils
259,Hyderabad,Mumbai Indians
260,Jaipur,Kochi Tuskers Kerala
261,Chennai,Chennai Super Kings
262,Delhi,Delhi Daredevils
